household_id,sector,qualification,salary,own_house,house_rent,own_car,car_expenses,married,number_of_children,food,milk,bread,meat,fruits,vegetables,transport,education,healthcare,utilities,clothing,entertainment,sports,savings
14,Finance,Cadre,71111,VRAI,0,VRAI,9616,VRAI,5,22725,3408,2272,6817,4545,5683,0,5180,4177,5650,2891,2349,0,18523
15,Industry,MaŒtrise,59492,FAUX,17158,VRAI,6170,FAUX,2,19967,2995,1996,5990,3993,4993,0,5381,5615,4493,3416,3525,0,-6233
16,Education,MaŒtrise,42557,FAUX,12200,VRAI,7973,VRAI,5,12547,1882,1254,3764,2509,3138,0,6359,2502,2150,1691,1231,1692,-5788
17,Extractives,Cadre,64735,VRAI,0,VRAI,11050,VRAI,5,17763,2664,1776,5328,3552,4443,0,9535,4509,4969,2928,3867,0,10114
18,Extractives,Cadre,89124,VRAI,0,VRAI,10683,VRAI,0,22669,3400,2266,6800,4533,5670,0,0,8888,5712,2779,5719,0,32674
19,Commerce,Ex‚cution,28420,VRAI,0,FAUX,0,FAUX,0,7319,1097,731,2195,1463,1833,1855,0,1692,1649,1120,1097,1243,12445
20,Commerce,Cadre,111885,VRAI,0,FAUX,0,FAUX,1,30814,4622,3081,9244,6162,7705,7246,9203,10341,6052,5410,5330,2997,34492
21,Transport,MaŒtrise,50647,FAUX,29334,FAUX,0,FAUX,0,13021,1953,1302,3906,2604,3256,3537,0,2660,3879,1068,2478,0,-5330
22,Agriculture,Cadre,113298,VRAI,0,FAUX,0,VRAI,1,38072,5710,3807,11421,7614,9520,7082,6104,7382,7490,3746,6955,5507,30960
23,Health,Cadre,114021,VRAI,0,FAUX,0,VRAI,3,30018,4502,3001,9005,6003,7507,11228,13848,5935,7065,4257,6522,1980,33168
24,Construction,MaŒtrise,41150,FAUX,19204,VRAI,3512,VRAI,5,10673,1600,1067,3201,2134,2671,0,2809,3980,2845,1673,2175,0,-5721
25,Construction,Ex‚cution,33130,VRAI,0,VRAI,10253,VRAI,5,8586,1287,858,2575,1717,2149,0,1968,2172,2630,894,691,0,5936
26,Construction,Ex‚cution,34827,VRAI,0,VRAI,13262,VRAI,5,10918,1637,1091,3275,2183,2732,0,1899,2393,2395,1397,2187,0,376
27,Finance,Cadre,89168,FAUX,10851,FAUX,0,VRAI,3,23437,3515,2343,7031,4687,5861,8075,11775,7249,6653,4107,2704,1657,12660
28,Finance,MaŒtrise,42082,VRAI,0,FAUX,0,VRAI,1,10618,1592,1061,3185,2123,2657,3817,3290,2352,2983,1900,2687,0,14435
29,Transport,Ex‚cution,33867,VRAI,0,FAUX,0,FAUX,0,10944,1641,1094,3283,2188,2738,1909,0,2116,2283,1852,1628,1259,11876
30,Transport,Cadre,62914,VRAI,0,FAUX,0,VRAI,0,17742,2661,1774,5322,3548,4437,5962,0,4370,3166,3536,1545,3020,23573
31,Industry,Cadre,116418,FAUX,21130,VRAI,6636,FAUX,0,30425,4563,3042,9127,6085,7608,0,0,11239,9223,6966,2653,0,28146
32,Finance,Ex‚cution,29846,VRAI,0,FAUX,0,VRAI,4,9964,1494,996,2989,1992,2493,2128,2156,2084,2290,771,1362,992,8099
33,Extractives,Ex‚cution,26365,FAUX,17494,FAUX,0,FAUX,1,8458,1268,845,2537,1691,2117,1953,2314,2247,1514,875,1100,690,-10280
34,Health,MaŒtrise,53116,FAUX,20150,FAUX,0,VRAI,5,15404,2310,1540,4621,3080,3853,3924,3096,4059,3351,2766,3659,0,-3293
35,Industry,Cadre,80559,VRAI,0,FAUX,0,VRAI,2,25741,3861,2574,7722,5148,6436,4331,5366,4901,4739,4820,4418,3180,23063
36,Commerce,Cadre,84933,VRAI,0,FAUX,0,VRAI,3,26727,4009,2672,8018,5345,6683,5895,6194,5375,5164,2581,3623,1799,27575
37,Health,Ex‚cution,35700,FAUX,27308,VRAI,10714,FAUX,1,10412,1561,1041,3123,2082,2605,0,3859,3425,1873,1965,1698,944,-26498
38,Extractives,MaŒtrise,42193,FAUX,24512,VRAI,10449,VRAI,5,14046,2106,1404,4213,2809,3514,0,4510,2243,2156,1069,872,1589,-19253
39,Industry,Ex‚cution,30989,FAUX,13636,FAUX,0,FAUX,0,8494,1274,849,2548,1698,2125,1867,0,1939,1804,876,1980,0,393
40,Commerce,MaŒtrise,54489,VRAI,0,VRAI,3770,VRAI,3,18070,2710,1807,5421,3614,4518,0,7998,2965,4018,2375,2397,0,12896
41,Industry,Ex‚cution,37173,FAUX,25781,FAUX,0,FAUX,1,11486,1722,1148,3445,2297,2874,2587,3484,3539,2247,1507,2199,1296,-16953
42,Extractives,Cadre,111332,FAUX,26521,FAUX,0,VRAI,3,28570,4285,2857,8571,5714,7143,5821,12478,7500,6265,4807,4127,0,15243
43,Construction,Cadre,75183,VRAI,0,VRAI,10687,VRAI,3,21394,3209,2139,6418,4278,5350,0,10501,5540,5264,2021,2226,1259,16291
44,Agriculture,MaŒtrise,53716,VRAI,0,FAUX,0,VRAI,5,15385,2307,1538,4615,3077,3848,4037,6394,2791,3974,2423,1293,0,17419
45,Extractives,Cadre,89721,FAUX,24178,VRAI,13958,VRAI,5,24548,3682,2454,7364,4909,6139,0,11304,6869,6425,2018,2457,3363,-5399
46,Finance,Cadre,100441,VRAI,0,VRAI,11152,FAUX,1,30774,4616,3077,9232,6154,7695,0,13466,5470,6635,2945,3731,0,26268
47,Education,MaŒtrise,56616,VRAI,0,VRAI,7206,FAUX,2,18374,2756,1837,5512,3674,4595,0,5274,3191,3312,1954,2960,0,14345
48,Agriculture,Cadre,63812,FAUX,27844,VRAI,4733,VRAI,3,21382,3207,2138,6414,4276,5347,0,3751,5761,3297,3426,1440,2417,-10239
49,Agriculture,Cadre,116641,VRAI,0,FAUX,0,VRAI,5,32168,4825,3216,9650,6433,8044,6828,13631,11252,7780,4999,3965,0,36018
50,Agriculture,MaŒtrise,56608,FAUX,16283,VRAI,9233,FAUX,1,17442,2616,1744,5232,3488,4362,0,3704,4192,3734,1249,2084,709,-2022
51,Commerce,MaŒtrise,41619,VRAI,0,FAUX,0,FAUX,2,12374,1856,1237,3712,2474,3095,3342,5386,2302,3143,2074,1682,0,11316
52,Transport,Cadre,79019,VRAI,0,FAUX,0,FAUX,0,20859,3128,2085,6257,4171,5218,7093,0,4747,4338,2099,4798,0,35085
53,Health,MaŒtrise,56984,FAUX,28520,FAUX,0,VRAI,5,19372,2905,1937,5811,3874,4845,4627,5925,4099,3836,1949,2255,0,-13599
54,Commerce,Ex‚cution,35343,FAUX,11970,VRAI,13818,VRAI,1,9327,1399,932,2798,1865,2333,0,4573,2862,2332,1970,2100,794,-14403
55,Construction,Ex‚cution,27336,VRAI,0,FAUX,0,FAUX,2,8896,1334,889,2668,1779,2226,1507,2833,1884,1741,1207,1233,0,8035
56,Health,Ex‚cution,27891,FAUX,25770,FAUX,0,VRAI,3,8970,1345,897,2691,1794,2243,2229,3700,2732,1681,811,1148,964,-20114
57,Commerce,MaŒtrise,51473,FAUX,10827,FAUX,0,VRAI,3,16935,2540,1693,5080,3387,4235,2632,5926,4558,3151,1171,1228,2245,2800
58,Construction,Cadre,94560,VRAI,0,FAUX,0,FAUX,1,31559,4733,3155,9467,6311,7893,6298,7673,5803,6452,3325,5410,3925,24115
59,Transport,MaŒtrise,47970,VRAI,0,FAUX,0,FAUX,1,14226,2133,1422,4267,2845,3559,3551,6804,3806,2445,2710,1554,0,12874
60,Industry,MaŒtrise,53472,VRAI,0,FAUX,0,VRAI,3,14505,2175,1450,4351,2901,3628,4050,7890,3900,3567,2910,2500,1175,12975
61,Construction,Ex‚cution,27482,VRAI,0,FAUX,0,VRAI,4,8588,1288,858,2576,1717,2149,1893,3673,2181,1616,1334,1274,0,6923
62,Finance,Ex‚cution,36485,VRAI,0,VRAI,9016,VRAI,2,10483,1572,1048,3144,2096,2623,0,2812,2999,2271,766,1014,0,7124
63,Commerce,Ex‚cution,25832,VRAI,0,VRAI,13682,VRAI,5,7334,1100,733,2200,1466,1835,0,2762,2437,1723,1261,1556,0,-4923
64,Health,MaŒtrise,48356,VRAI,0,VRAI,3822,FAUX,2,15151,2272,1515,4545,3030,3789,0,5976,4468,2595,2662,2521,0,11161
65,Industry,Ex‚cution,31035,VRAI,0,FAUX,0,VRAI,3,10336,1550,1033,3100,2067,2586,2087,3953,2114,2353,893,2132,0,7167
66,Commerce,Ex‚cution,27106,FAUX,14831,VRAI,6186,VRAI,0,8244,1236,824,2473,1648,2063,0,0,2213,1565,693,1673,0,-8299
67,Finance,MaŒtrise,48996,VRAI,0,FAUX,0,VRAI,3,14689,2203,1468,4406,2937,3675,2614,4435,3668,3508,1188,1322,1012,16560
68,Commerce,Cadre,117953,FAUX,25156,VRAI,12900,FAUX,0,34007,5101,3400,10202,6801,8503,0,0,8958,6063,3143,6711,4025,16990
69,Industry,MaŒtrise,46819,FAUX,21046,FAUX,0,FAUX,2,14811,2221,1481,4443,2962,3704,4534,5770,2844,2384,1427,2329,1397,-9723
70,Finance,Ex‚cution,39536,FAUX,11524,VRAI,5343,FAUX,0,12670,1900,1267,3801,2534,3168,0,0,3159,2522,910,944,1925,539
71,Finance,MaŒtrise,58706,VRAI,0,FAUX,0,FAUX,0,20254,3038,2025,6076,4050,5065,4244,0,3478,3889,3224,3323,0,20294
72,Industry,Cadre,62421,FAUX,15319,VRAI,8387,VRAI,1,15927,2389,1592,4778,3185,3983,0,7302,3258,4222,3743,2983,0,1280
73,Industry,Cadre,84070,VRAI,0,FAUX,0,FAUX,2,27703,4155,2770,8310,5540,6928,7335,4664,6116,5521,3848,4414,2726,21743
74,Finance,Ex‚cution,25130,FAUX,12983,VRAI,10126,VRAI,0,7635,1145,763,2290,1527,1910,0,0,2087,1812,1025,1038,0,-11576
75,Construction,MaŒtrise,59625,FAUX,14346,FAUX,0,VRAI,2,15323,2298,1532,4596,3064,3833,3009,3295,3245,3048,2336,2923,1546,10554
76,Transport,MaŒtrise,43430,VRAI,0,FAUX,0,VRAI,4,12397,1859,1239,3719,2479,3101,2795,3458,2678,2226,899,3013,0,15964
77,Transport,Ex‚cution,32511,VRAI,0,FAUX,0,FAUX,0,8418,1262,841,2525,1683,2107,2304,0,3054,2546,1258,1647,1614,11670
78,Commerce,Cadre,116979,FAUX,15429,FAUX,0,VRAI,1,29793,4468,2979,8937,5958,7451,8095,6278,11447,8748,6086,6023,3594,21486
79,Extractives,MaŒtrise,50106,VRAI,0,FAUX,0,VRAI,2,16614,2492,1661,4984,3322,4155,3067,3626,3850,3396,2164,1231,0,16158
80,Transport,Cadre,77602,FAUX,23774,FAUX,0,VRAI,2,21584,3237,2158,6475,4316,5398,4860,3919,6579,3993,3205,5285,3552,851
81,Extractives,Ex‚cution,30233,VRAI,0,VRAI,5396,FAUX,2,8609,1291,860,2582,1721,2155,0,3561,2366,1753,1667,1810,0,5071
82,Transport,Ex‚cution,31924,FAUX,23481,VRAI,6738,FAUX,2,10795,1619,1079,3238,2159,2700,0,4665,2339,2438,645,1947,1479,-22603
83,Health,MaŒtrise,56077,FAUX,10294,VRAI,14309,VRAI,0,17562,2634,1756,5268,3512,4392,0,0,3532,3870,2332,3308,2267,-1397
84,Transport,MaŒtrise,49439,FAUX,11435,FAUX,0,FAUX,0,16259,2438,1625,4877,3251,4068,2901,0,4377,3876,1317,2894,0,6380
85,Extractives,MaŒtrise,51383,VRAI,0,FAUX,0,FAUX,0,15137,2270,1513,4541,3027,3786,4232,0,4096,3160,1162,3138,2196,18262
86,Construction,Cadre,104569,VRAI,0,VRAI,11707,VRAI,4,35074,5261,3507,10522,7014,8770,0,10739,9546,6164,5604,6132,1595,18008
87,Extractives,Cadre,104413,VRAI,0,VRAI,7116,FAUX,0,32770,4915,3277,9831,6554,8193,0,0,7296,6079,6197,4225,0,40730
88,Finance,Cadre,61980,VRAI,0,FAUX,0,FAUX,1,20852,3127,2085,6255,4170,5215,4565,9099,3673,4714,3164,3628,0,12285
89,Education,Cadre,77343,VRAI,0,FAUX,0,FAUX,1,22909,3436,2290,6872,4581,5730,3871,8494,6215,4441,3274,2419,2789,22931
90,Industry,Ex‚cution,27433,FAUX,14167,VRAI,13205,VRAI,5,9532,1429,953,2859,1906,2385,0,3352,2272,1994,1594,1793,0,-20476
91,Commerce,Cadre,69768,VRAI,0,FAUX,0,VRAI,5,21754,3263,2175,6526,4350,5440,5938,7392,3522,4171,2840,1701,790,21660
92,Agriculture,MaŒtrise,59558,VRAI,0,FAUX,0,VRAI,1,19781,2967,1978,5934,3956,4946,3100,6970,5811,3199,3326,2962,0,14409
93,Transport,Cadre,85291,FAUX,13389,FAUX,0,VRAI,2,28954,4343,2895,8686,5790,7240,6599,11235,6193,5911,3501,4825,1058,3626
94,Transport,Cadre,73612,FAUX,29811,FAUX,0,FAUX,0,23251,3487,2325,6975,4650,5814,5514,0,5724,5268,2144,5139,0,-3239
95,Education,Cadre,88706,VRAI,0,VRAI,3352,FAUX,0,29878,4481,2987,8963,5975,7472,0,0,7660,6411,3283,3308,4391,30423
96,Extractives,MaŒtrise,55282,VRAI,0,VRAI,8631,VRAI,1,18204,2730,1820,5461,3640,4553,0,6385,5506,3234,1899,2166,0,9257
97,Extractives,Ex‚cution,36106,FAUX,22765,VRAI,12131,VRAI,1,9679,1451,967,2903,1935,2423,0,4890,2694,2073,1979,1526,0,-21631
98,Health,Ex‚cution,33321,VRAI,0,FAUX,0,VRAI,3,9190,1378,919,2757,1838,2298,2760,2749,2954,1796,1959,1422,431,10060
99,Transport,MaŒtrise,49472,VRAI,0,FAUX,0,FAUX,0,13194,1979,1319,3958,2638,3300,2888,0,2564,3566,2303,2163,0,22794
100,Agriculture,Cadre,60619,VRAI,0,VRAI,13573,VRAI,4,20832,3124,2083,6249,4166,5210,0,3269,3401,3853,3476,2170,0,10045
101,Health,MaŒtrise,59124,VRAI,0,FAUX,0,VRAI,0,18559,2783,1855,5567,3711,4643,5521,0,4300,3870,2338,3153,662,20721
102,Health,Ex‚cution,38647,FAUX,27275,FAUX,0,FAUX,0,12486,1872,1248,3745,2497,3124,2234,0,2385,3049,1167,2051,0,-12000
103,Finance,Cadre,88625,FAUX,13719,FAUX,0,FAUX,2,30406,4560,3040,9121,6081,7604,7486,10426,5386,6183,3168,4658,3218,3975
104,Agriculture,MaŒtrise,56958,FAUX,17848,FAUX,0,FAUX,0,17469,2620,1746,5240,3493,4370,4950,0,5349,3538,1884,3040,0,2880
105,Transport,MaŒtrise,55638,VRAI,0,FAUX,0,VRAI,5,17520,2628,1752,5256,3504,4380,3695,6288,4478,3722,1959,2638,0,15338
106,Education,Ex‚cution,31059,VRAI,0,FAUX,0,VRAI,5,9688,1453,968,2906,1937,2424,2272,2732,2893,2036,1216,661,782,8779
107,Industry,MaŒtrise,51563,VRAI,0,VRAI,13582,FAUX,1,16580,2487,1658,4974,3316,4145,0,5265,4698,3244,2880,1215,0,4099
108,Education,Cadre,104814,VRAI,0,VRAI,7882,VRAI,4,32674,4901,3267,9802,6534,8170,0,10723,8752,8163,4327,5140,4056,23097
109,Extractives,MaŒtrise,50828,VRAI,0,VRAI,6530,VRAI,3,13629,2044,1362,4088,2725,3410,0,5210,4343,2704,2169,1668,0,14575
110,Construction,MaŒtrise,49600,VRAI,0,FAUX,0,VRAI,4,15383,2307,1538,4614,3076,3848,4511,6865,3045,2795,2204,2011,0,12786
111,Industry,Ex‚cution,30699,VRAI,0,FAUX,0,VRAI,1,10159,1523,1015,3047,2031,2543,2711,1994,2185,1675,902,1948,0,9125
112,Extractives,Ex‚cution,33853,VRAI,0,FAUX,0,VRAI,2,9248,1387,924,2774,1849,2314,2354,3705,2533,2695,861,1853,0,10604
113,Construction,MaŒtrise,51543,VRAI,0,VRAI,4241,VRAI,4,13295,1994,1329,3988,2659,3325,0,3018,4881,2873,1697,1614,658,19266
114,Finance,Ex‚cution,30051,FAUX,13610,FAUX,0,VRAI,1,9556,1433,955,2866,1911,2391,1849,2875,1788,1549,1055,1146,0,-3377
115,Health,Cadre,92007,VRAI,0,VRAI,13060,VRAI,0,24570,3685,2457,7371,4914,6143,0,0,6484,5767,4864,1845,4531,30886
116,Construction,Cadre,97211,FAUX,18555,VRAI,3285,VRAI,5,26801,4020,2680,8040,5360,6701,0,12519,9063,6635,3915,2718,1429,12291
117,Finance,Cadre,118945,VRAI,0,VRAI,5496,VRAI,3,33063,4959,3306,9918,6612,8268,0,17156,11141,6524,6119,5796,0,33650
118,Extractives,MaŒtrise,52329,VRAI,0,FAUX,0,VRAI,1,17624,2643,1762,5287,3524,4408,4725,6750,3413,2743,1890,1500,0,13684
119,Health,MaŒtrise,56127,FAUX,18984,VRAI,7259,VRAI,0,17434,2615,1743,5230,3486,4360,0,0,4952,3100,2250,2241,1386,-1479
120,Finance,Ex‚cution,25963,VRAI,0,FAUX,0,VRAI,3,7300,1095,730,2190,1460,1825,1955,2439,1435,1797,743,1323,0,8971
121,Education,Cadre,73828,FAUX,16488,VRAI,6850,FAUX,2,23588,3538,2358,7076,4717,5899,0,10953,4574,4006,1835,2596,2782,156
122,Health,Ex‚cution,39083,FAUX,20340,FAUX,0,VRAI,3,12333,1849,1233,3699,2466,3086,3611,4784,3502,2428,1804,1473,0,-11192
123,Construction,MaŒtrise,49956,VRAI,0,FAUX,0,VRAI,5,14893,2233,1489,4467,2978,3726,2545,3795,4396,2703,2068,1536,981,17039
124,Industry,Ex‚cution,27385,VRAI,0,VRAI,11656,VRAI,3,8615,1292,861,2584,1723,2155,0,2736,1733,1491,687,1731,987,-2251
125,Transport,Cadre,88380,VRAI,0,VRAI,9164,FAUX,0,30538,4580,3053,9161,6107,7637,0,0,7896,5255,4200,3701,3856,23770
126,Commerce,MaŒtrise,48906,VRAI,0,VRAI,9869,VRAI,0,12552,1882,1255,3765,2510,3140,0,0,3712,2665,2420,2230,0,15458
127,Commerce,Ex‚cution,36768,FAUX,13456,VRAI,11599,VRAI,0,12708,1906,1270,3812,2541,3179,0,0,3194,2228,1171,1378,0,-8966
128,Education,Cadre,117906,VRAI,0,VRAI,9493,FAUX,1,29723,4458,2972,8916,5944,7433,0,6864,11601,6940,5985,6040,2149,39111
129,Health,Ex‚cution,31979,FAUX,22504,FAUX,0,VRAI,1,9025,1353,902,2707,1805,2258,1799,3115,1781,2065,1816,1472,0,-11598
130,Extractives,MaŒtrise,52232,VRAI,0,VRAI,9267,VRAI,1,17983,2697,1798,5394,3596,4498,0,3868,2928,2921,2897,2731,2227,7410
131,Construction,Cadre,70736,VRAI,0,FAUX,0,VRAI,5,20941,3141,2094,6282,4188,5236,6514,8689,6282,4929,1916,3342,0,18123
132,Finance,MaŒtrise,53057,VRAI,0,FAUX,0,FAUX,2,15855,2378,1585,4756,3171,3965,3052,4469,3749,3859,2638,2684,852,15899
133,Construction,MaŒtrise,46251,FAUX,13300,VRAI,11553,VRAI,0,14993,2248,1499,4497,2998,3751,0,0,4350,2698,1283,2959,0,-4885
134,Industry,Ex‚cution,28967,FAUX,24042,VRAI,5159,FAUX,1,9698,1454,969,2909,1939,2427,0,3881,2654,1457,1447,1678,0,-21049
135,Construction,Cadre,114341,FAUX,27508,VRAI,12596,VRAI,1,38718,5807,3871,11615,7743,9682,0,12497,7955,7132,5468,2305,0,162
136,Health,Ex‚cution,35512,VRAI,0,VRAI,6586,VRAI,1,10871,1630,1087,3261,2174,2719,0,3766,2847,2496,1853,1189,0,5904
137,Education,Ex‚cution,37693,FAUX,10541,FAUX,0,VRAI,3,11372,1705,1137,3411,2274,2845,2714,2440,2503,2375,887,1169,0,3692
138,Transport,Cadre,93787,VRAI,0,VRAI,4283,VRAI,2,29879,4481,2987,8963,5975,7473,0,13984,8193,6771,5440,2827,0,22410
139,Finance,MaŒtrise,54082,VRAI,0,VRAI,9397,VRAI,5,16322,2448,1632,4896,3264,4082,0,4319,5247,3124,2011,3441,0,10221
140,Health,Ex‚cution,27096,VRAI,0,FAUX,0,FAUX,1,6992,1048,699,2097,1398,1750,2341,2700,1946,1947,1371,757,0,9042
141,Health,Ex‚cution,38975,VRAI,0,VRAI,4431,VRAI,5,9885,1482,988,2965,1977,2473,0,3023,2485,2869,2299,1502,0,12481
142,Agriculture,Ex‚cution,30675,VRAI,0,FAUX,0,VRAI,1,10449,1567,1044,3134,2089,2615,1747,3166,2164,1853,1717,646,0,8933
143,Construction,Cadre,110601,FAUX,13959,VRAI,8432,VRAI,4,30487,4573,3048,9146,6097,7623,0,12765,6625,7405,4264,7587,0,19077
144,Transport,Ex‚cution,31304,VRAI,0,VRAI,9633,VRAI,5,9582,1437,958,2874,1916,2397,0,3203,1744,2372,1531,731,0,2508
145,Finance,Ex‚cution,38253,VRAI,0,FAUX,0,VRAI,4,13180,1977,1318,3954,2636,3295,3538,4471,2796,2385,1761,1808,1166,7148
146,Education,Cadre,61727,FAUX,20800,VRAI,5324,VRAI,3,20102,3015,2010,6030,4020,5027,0,6292,3718,4711,3406,3921,1731,-8278
147,Extractives,MaŒtrise,42113,VRAI,0,VRAI,13183,VRAI,1,12624,1893,1262,3787,2524,3158,0,2549,3488,3144,1483,2475,0,3167
148,Commerce,MaŒtrise,58939,FAUX,20403,VRAI,10239,FAUX,2,15889,2383,1588,4766,3177,3975,0,8233,4479,3738,2493,1668,0,-8203
149,Education,Ex‚cution,25282,VRAI,0,FAUX,0,VRAI,0,6404,960,640,1921,1280,1603,1723,0,2190,1886,822,1515,0,10742
150,Transport,Cadre,75149,VRAI,0,FAUX,0,VRAI,4,23806,3570,2380,7141,4761,5954,6142,5004,7071,4721,1990,1550,0,24865
151,Health,Ex‚cution,28864,FAUX,10226,VRAI,3264,FAUX,1,7535,1130,753,2260,1507,1885,0,3635,2869,2223,1329,1030,1234,-4481
152,Industry,MaŒtrise,58099,FAUX,16450,VRAI,8433,VRAI,5,18812,2821,1881,5643,3762,4705,0,7588,5355,3347,1234,3309,1312,-7741
153,Construction,Cadre,70693,FAUX,13830,VRAI,13430,VRAI,1,21297,3194,2129,6389,4259,5326,0,5692,4286,3605,2273,3722,0,2558
154,Construction,Ex‚cution,25392,FAUX,20449,FAUX,0,FAUX,2,7771,1165,777,2331,1554,1944,1410,2404,1854,1928,1063,990,0,-12477
155,Health,MaŒtrise,50096,VRAI,0,FAUX,0,FAUX,2,13162,1974,1316,3948,2632,3292,4277,7378,4573,3555,2684,3461,0,11006
156,Construction,Ex‚cution,37920,VRAI,0,FAUX,0,VRAI,5,9935,1490,993,2980,1987,2485,2025,2894,1983,2541,1188,2321,722,14311
157,Transport,MaŒtrise,45827,VRAI,0,FAUX,0,FAUX,0,14175,2126,1417,4252,2835,3545,4335,0,2716,2399,1355,2737,1526,16584
158,Finance,MaŒtrise,41492,VRAI,0,VRAI,12491,VRAI,3,10849,1627,1084,3254,2169,2715,0,2464,3961,2907,2206,2653,0,3961
159,Construction,Ex‚cution,26447,VRAI,0,VRAI,3526,VRAI,1,7047,1057,704,2114,1409,1763,0,1773,2576,1675,1363,1374,0,7113
160,Education,MaŒtrise,51093,VRAI,0,VRAI,5394,FAUX,0,14147,2122,1414,4244,2829,3538,0,0,3594,3921,1027,1123,0,21887
161,Commerce,Cadre,106546,VRAI,0,FAUX,0,VRAI,0,33269,4990,3326,9980,6653,8320,7829,0,7711,6843,4649,4991,0,41254
162,Commerce,Ex‚cution,29650,FAUX,25200,VRAI,3340,VRAI,5,8589,1288,858,2576,1717,2150,0,1614,1894,2208,930,1805,0,-15930
163,Construction,Cadre,109334,FAUX,14492,FAUX,0,VRAI,2,28771,4315,2877,8631,5754,7194,6968,9780,7772,6814,6155,6090,0,22492
164,Construction,Ex‚cution,25987,FAUX,14615,FAUX,0,VRAI,5,7166,1074,716,2149,1433,1794,1376,2868,2191,1388,918,1112,385,-6032
165,Extractives,Ex‚cution,25331,VRAI,0,VRAI,8889,VRAI,0,7970,1195,797,2391,1594,1993,0,0,2391,1721,1015,682,409,2254
166,Health,Cadre,119845,VRAI,0,FAUX,0,VRAI,5,31664,4749,3166,9499,6332,7918,6062,11050,7760,7739,5163,2658,3876,43873
167,Transport,Cadre,67446,FAUX,17461,FAUX,0,VRAI,1,19585,2937,1958,5875,3917,4898,3634,7031,6278,4566,1959,2644,0,4288
168,Transport,Cadre,63134,VRAI,0,FAUX,0,VRAI,2,19578,2936,1957,5873,3915,4897,5384,7502,4339,3472,2349,1712,0,18798
169,Health,Ex‚cution,30906,VRAI,0,FAUX,0,VRAI,2,8919,1337,891,2675,1783,2233,2768,3387,1701,2330,1274,1918,0,8609
170,Extractives,MaŒtrise,57438,FAUX,28284,FAUX,0,VRAI,2,17414,2612,1741,5224,3482,4355,3261,3442,3471,4466,2100,2284,912,-8196
171,Industry,Ex‚cution,27169,VRAI,0,FAUX,0,VRAI,5,8430,1264,843,2529,1686,2108,2481,4031,1750,2141,966,1067,860,5443
172,Transport,Ex‚cution,27352,VRAI,0,VRAI,7916,FAUX,2,7812,1171,781,2343,1562,1955,0,3629,2337,1512,1102,1473,1182,389
173,Extractives,Cadre,94395,VRAI,0,FAUX,0,VRAI,1,28213,4231,2821,8463,5642,7056,6616,14101,8874,6485,4037,4817,2435,18817
174,Extractives,Ex‚cution,27660,VRAI,0,VRAI,9207,VRAI,1,8912,1336,891,2673,1782,2230,0,2858,2586,1491,1427,725,0,454
175,Agriculture,Ex‚cution,25882,VRAI,0,FAUX,0,VRAI,5,7994,1199,799,2398,1598,2000,1779,2033,1557,1885,917,1179,0,8538
176,Extractives,MaŒtrise,55309,VRAI,0,VRAI,8806,FAUX,2,19115,2867,1911,5734,3823,4780,0,3874,3067,4182,2077,3448,0,10740
